tweet_id,text,author_id,created_at,place_id,like_count,quote_count,reply_count,retweet_count,conversation_id,in_reply_to_user_id
963259638501265409,"Happy Chinese New Year!! We are celebrating it by giving out ""red pocket""!! All customers will… https://t.co/A08RH94IjK",832667223055425540,2018-02-13T03:52:48.000Z,ec212eb1116b92e2,0,0,0,0,963259638501265409,N/A
963259602434494465,Our lucky customer get a $20 red pocket today!! Congratulation!! Happy Chinese New Year… https://t.co/EIxvc8VWJk,832667223055425540,2018-02-13T03:52:40.000Z,ec212eb1116b92e2,0,0,0,0,963259602434494465,N/A
963256419158933504,Happy Chinese New Year #happychinesenewyear #新年 #新年快乐 #newyear #newday #happynewyear… https://t.co/rgYHoSc4h3,91729620,2018-02-13T03:40:01.000Z,fa424f169eef946e,0,0,0,0,963256419158933504,N/A
963255988936560642,Happy Chinese New Year #happychinesenewyear #新年 #新年快乐 #newyear #newday #happynewyear… https://t.co/IrALgSTbR9,91729620,2018-02-13T03:38:18.000Z,fa424f169eef946e,0,0,0,0,963255988936560642,N/A
963255415684263937,Footsteps Chinese New Year celebration. https://t.co/aiFEZZkjSN,2395284926,2018-02-13T03:36:02.000Z,07d9db45a7484001,0,0,0,0,963255415684263937,N/A
963247782697078784,Sunday will be my only day off.. 😴 #MinxD #workworkwork #onmygrind #holidays #conversions… https://t.co/IL7Q1zvGPg,22194996,2018-02-13T03:05:42.000Z,a409256339a7c6a1,0,0,0,0,963247782697078784,N/A
963246856661848065,From the Trần Family: Chúc Mừng Năm Mới! Happy New Year!💥 #yearofthedog #hellavietnamese @ San… https://t.co/ECPHOF0tzD,816073429,2018-02-13T03:02:01.000Z,7d62cffe6f98f349,0,0,0,0,963246856661848065,N/A
963276099982512130,"CHEEEEEETH! Lol. Chinese new year, 2018 #chinesenewyear #chinatownhi #honolulu @ Chinatown, Hawaii https://t.co/tMZm6iiBKE",251370387,2018-02-13T04:58:13.000Z,c47c0bc571bf5427,0,0,0,0,963276099982512130,N/A
963275365077737472,"Lion Dance, Chinese New Year 2018 #chinesenewyear #chinatownhi #liondance #honolulu @ Chinatown,… https://t.co/FDoaWzgkTN",251370387,2018-02-13T04:55:18.000Z,c47c0bc571bf5427,0,0,0,0,963275365077737472,N/A
963274570554888192,"Chinese New Year, 2018 #chinesenewyear #chinatownhi #honolulu @ Chinatown, Hawaii https://t.co/AuilsdUxZ0",251370387,2018-02-13T04:52:09.000Z,c47c0bc571bf5427,0,0,0,0,963274570554888192,N/A
963273982492467200,"Dragon, Chinese New Year, 2018 #chinesenewyear #chinatownhnl #honolulu @ Chinatown, Hawaii https://t.co/xhRiLdHX21",251370387,2018-02-13T04:49:48.000Z,c47c0bc571bf5427,0,0,0,0,963273982492467200,N/A
963269243277103105,Let’s just skip over Valentine’s Day and head straight to Chinese New Year. Much appreciated. I’m ready for the food.,32679053,2018-02-13T04:30:58.000Z,00c39537733fa112,6,0,1,0,963269243277103105,N/A
963268585371193344,"Paradise Garden Grill // Lunar New Year - Whole crispy tilapia with vegetables and rice,… https://t.co/FQi9DES5sy",29854960,2018-02-13T04:28:22.000Z,0c2e6999105f8070,0,0,0,0,963268585371193344,N/A
963268238615482368,"WWE Raw results, Feb. 12, 2018: Second Chance Fatal 5-Way Match ends in controversy https://t.co/4KAEUM8rrL via @wwe HAPPY NEW YEAR 2018 WWE!",4685457696,2018-02-13T04:26:59.000Z,f97108ab3c4a42ed,1,0,0,0,963268238615482368,N/A
963266034844258304,"Chinese New Year, 2018 @ Chinatown, Hawaii https://t.co/Niee69xRcW",251370387,2018-02-13T04:18:13.000Z,c47c0bc571bf5427,0,0,0,0,963266034844258304,N/A
963265208260030464,I can’t wait for my ravi seasons greetings!!!! 🌟💕💕🌟💕🌟🌟🌟🌟💕🌟💕🌟💕,345481557,2018-02-13T04:14:56.000Z,895f19a3c08d3d35,1,0,0,0,963265208260030464,N/A
